2024-04-17 17:00:21,748 INFO    Thread-12 :50888 [dir_watcher.py:_on_file_created():271] file/dir created: /Users/ajgeorge/python/sis/logs/2024-04-17/17-00-13/wandb/run-20240417_170015-896d5f9cc856eccbc46f853a821f0ddd377b3cf8cabe2e8fcdd00809e5437a2f/files/wandb-metadata.json
2024-04-17 17:00:22,157 INFO    wandb-upload_0:50888 [upload_job.py:push():131] Uploaded file /var/folders/zm/pvx4kk8j5y71lh90_9ynxzrh007rvq/T/tmpdzduzyycwandb/17ljzjta-wandb-metadata.json
2024-04-17 17:00:23,600 DEBUG   SenderThread:50888 [sender.py:send():379] send: telemetry
2024-04-17 17:00:23,601 DEBUG   SenderThread:50888 [sender.py:send():379] send: telemetry
2024-04-17 17:00:23,601 DEBUG   SenderThread:50888 [sender.py:send_request():406] send_request: summary_record
2024-04-17 17:00:23,601 INFO    SenderThread:50888 [sender.py:_save_file():1390] saving file wandb-summary.json with policy end
2024-04-17 17:00:23,758 INFO    Thread-12 :50888 [dir_watcher.py:_on_file_created():271] file/dir created: /Users/ajgeorge/python/sis/logs/2024-04-17/17-00-13/wandb/run-20240417_170015-896d5f9cc856eccbc46f853a821f0ddd377b3cf8cabe2e8fcdd00809e5437a2f/files/wandb-summary.json
2024-04-17 17:00:23,758 INFO    Thread-12 :50888 [dir_watcher.py:_on_file_created():271] file/dir created: /Users/ajgeorge/python/sis/logs/2024-04-17/17-00-13/wandb/run-20240417_170015-896d5f9cc856eccbc46f853a821f0ddd377b3cf8cabe2e8fcdd00809e5437a2f/files/output.log
2024-04-17 17:00:25,763 INFO    Thread-12 :50888 [dir_watcher.py:_on_file_modified():288] file/dir modified: /Users/ajgeorge/python/sis/logs/2024-04-17/17-00-13/wandb/run-20240417_170015-896d5f9cc856eccbc46f853a821f0ddd377b3cf8cabe2e8fcdd00809e5437a2f/files/output.log
2024-04-17 17:00:26,613 DEBUG   HandlerThread:50888 [handler.py:handle_request():146] handle_request: status_report
2024-04-17 17:00:27,691 DEBUG   SenderThread:50888 [sender.py:send():379] send: telemetry
2024-04-17 17:00:27,691 DEBUG   SenderThread:50888 [sender.py:send():379] send: telemetry
2024-04-17 17:00:28,175 DEBUG   SenderThread:50888 [sender.py:send():379] send: telemetry
2024-04-17 17:00:32,190 DEBUG   HandlerThread:50888 [handler.py:handle_request():146] handle_request: status_report
2024-04-17 17:00:36,663 DEBUG   HandlerThread:50888 [handler.py:handle_request():146] handle_request: stop_status
2024-04-17 17:00:36,664 DEBUG   SenderThread:50888 [sender.py:send_request():406] send_request: stop_status
2024-04-17 17:00:36,674 DEBUG   HandlerThread:50888 [handler.py:handle_request():146] handle_request: internal_messages
2024-04-17 17:00:37,925 DEBUG   HandlerThread:50888 [handler.py:handle_request():146] handle_request: status_report
2024-04-17 17:00:42,946 DEBUG   HandlerThread:50888 [handler.py:handle_request():146] handle_request: status_report
2024-04-17 17:00:47,969 DEBUG   HandlerThread:50888 [handler.py:handle_request():146] handle_request: status_report
2024-04-17 17:00:48,853 INFO    Thread-12 :50888 [dir_watcher.py:_on_file_modified():288] file/dir modified: /Users/ajgeorge/python/sis/logs/2024-04-17/17-00-13/wandb/run-20240417_170015-896d5f9cc856eccbc46f853a821f0ddd377b3cf8cabe2e8fcdd00809e5437a2f/files/config.yaml
2024-04-17 17:00:51,670 DEBUG   HandlerThread:50888 [handler.py:handle_request():146] handle_request: stop_status
2024-04-17 17:00:51,670 DEBUG   SenderThread:50888 [sender.py:send_request():406] send_request: stop_status
